"Highlights will shows in Checkout, Cart and Product page if Registration Bonus Reward Earning Rule is configured and active.","Highlights will shows in Checkout, Cart and Product page if Registration Bonus Reward Earning Rule is configured and active."
"Text Color","Text Color"
"Customer Account","Customer Account"
"Show Reward Points Description In Customer Account","Show Reward Points Description In Customer Account"
"Reward Points Description","Reward Points Description"
"Show Actual Reward Points Balance on Storefront","Show Actual Reward Points Balance on Storefront"
"Actual balance will display in the top menu after customer account.","Actual balance will display in the top menu after customer account."
"Customer Account Balance Label","Customer Account Balance Label"
"Email Notification","Email Notification"
"Email Sender","Email Sender"
"Send Email When Customer Earns Reward Points","Send Email When Customer Earns Reward Points"
"Reward Points Earned Template","Reward Points Earned Template"
"Send Email When Customer's Reward Points Are About to Expire","Send Email When Customer's Reward Points Are About to Expire"
"Reward Points Expiring Template","Reward Points Expiring Template"
"Email Will Be Sent When Reward Points Expire In, Number of Days","Email Will Be Sent When Reward Points Expire In, Number of Days"
"User will be notified about all points expiring within the date range from now to N days later, where N is number of days specified in the text field","User will be notified about all points expiring within the date range from now to N days later, where N is number of days specified in the text field"
"No Items Found","No Items Found"
Activate,Activate
"Are you sure?","Are you sure?"
Inactivate,Inactivate
ID,ID
Name,Name
Status,Status
"Customer Group Catalog Rule","Customer Group Catalog Rule"
Back,Back
Websites,Websites
"Customer Groups","Customer Groups"
Actions,Actions
"Get X Points for Completing Order","Get X Points for Completing Order"
"Get X Points for Newsletter Subscription","Get X Points for Newsletter Subscription"
"Get X Points as a Birthday Gift","Get X Points as a Birthday Gift"
"Get X Points for Each $Y Spent","Get X Points for Each $Y Spent"
"Get X Points for Registration","Get X Points for Registration"
"Get X Points after Y Days of Inactivity","Get X Points after Y Days of Inactivity"
"Get X Points for Approved Product Review","Get X Points for Approved Product Review"
"Points Income (X)","Points Income (X)"
"Spent Amount","Spent Amount"
"Amount to spend ($Y)","Amount to spend ($Y)"
"Promo Items","Promo Items"
"
                        A list of SKUs, separated by commas, for which points will be awarded. Leave the field blank if you want the points to be credited for any products.
                    ","
                        A list of SKUs, separated by commas, for which points will be awarded. Leave the field blank if you want the points to be credited for any products.
                    "
"Days Since Last Login (Y)","Days Since Last Login (Y)"
"Will be credited automatically, login not required","Will be credited automatically, login not required"
Recurring,Recurring
Yes,Yes
"Select ""Custom"", if you want to override default Amasty Rewards configuration and explicitly set expiration period for this rule on individual basis.","Select ""Custom"", if you want to override default Amasty Rewards configuration and explicitly set expiration period for this rule on individual basis."
Default,Default
"Comments for Action in a Customer Account","Comments for Action in a Customer Account"
"Default Action Comment for All Store Views","Default Action Comment for All Store Views"
